,lname,lStreetNumber,lStreetAddress,lExtraInfo,lCity,lState,rname,rStreetNumber,rStreetAddress,rExtraInfo,rCity,rState
446,Wings Over Madison,2739.0,University Ave,,Madison,WI,Great Harvest Bread Company,3258.0,University Ave,,Madison,WI
447,Winton Deli,2042.0,W Winton Ave,,Hayward,CA,Winton Deli Cafe,2042.0,W Winton Ave,,Hayward,CA
448,Woodhouse Fish Company,2073.0,Market St,,San Francisco,CA,The Hot Spot,1414.0,Market St,,San Francisco,CA
449,Yang Chow,819.0,N Broadway,,Los Angeles,CA,The Heights Deli & Bottle Shop,2927.0,N Broadway,,Los Angeles,CA
450,Yu Chun Chic Naeng Myun,3185.0,W Olympic Blvd,,Los Angeles,CA,Gam Ja Gol,3003.0,W Olympic Blvd,,Los Angeles,CA
451,Yu Chun Chic Naeng Myun,3185.0,W Olympic Blvd,,Los Angeles,CA,Yu Chun Chic Naeng Myun,3185.0,W Olympic Blvd,,Los Angeles,CA
452,Yum Yum Bangkok,650.0,9th Ave,,New York,NY,At nine Restaurant & Bar,592.0,9th Ave,,New York,NY
453,Yum Yum Bangkok,650.0,9th Ave,,New York,NY,Riposo 46,667.0,9th Ave,,New York,NY
454,Zuzu Cafe,1336.0,Drake St,,Madison,WI,ZuZu Cafe & Market,1336.0,Drake St,,Madison,WI
0,bogota latin bistro,141.0,5th Ave,,,,asian bistro,70.0,7th Ave,,,
1,monsignors restaurant,679.0,5th Ave,,,,morning star restaurant,879.0,9th Ave,,,
2,bo ky restaurant,80.0,Bayard St,,,,69 bayard restaurant corp,69.0,Bayard St,,,
3,ipanema restaurant,43.0,W 46th St,,,,demarchelier restaurant,50.0,E 86th St,,,
4,eleven madison park,11.0,Madison Ave,,,,eleven madison park,11.0,Madison Ave,,,
5,pepolino restaurant,281.0,W Broadway,,,,quoc & huong restaurant,1.0,E Broadway,,,
6,lasso pizza,192.0,Mott St,,,,cultura pizza,151.0,Mott St,,,
7,the nomad restaurant,1170.0,Broadway,,,,el presidente restaurant,3938.0,Broadway,,,
8,juniors restaurant,1515.0,Broadway,,,,josephina restaurant,1900.0,Broadway,,,
9,rabbithole restaurant,352.0,Bedford Ave,,,,okura japanese restaurant inc,519.0,3rd Ave,,,
10,hillstone restaurant,153.0,E 53rd St,,,,chelsea square restaurant,368.0,W 23rd St,,,
11,cabana restaurant,1022.0,3rd Ave,,,,jaiya thai restaurant,396.0,3rd Ave Frnt 1,,,
12,sweet chick,178.0,Ludlow St,,,,sweet chick,178.0,Ludlow St,,,
13,han bat sul lung tang,4163.0,W 5th St,,,,han bat shul lung tang,4163.0,W 5th St,,,
14,guelaguetza restaurante,3014.0,W Olympic Blvd,,,,seoul garden restaurant,1833.0,W Olympic Blvd,,,
15,franco on melrose,6919.0,Melrose Ave,,,,the foundry on melrose,7465.0,Melrose Ave,,,
16,andres italian restaurant,6332.0,W 3rd St,,,,eva's lechon & restaurant,4252.0,W 3rd St,,,
17,suehiro cafe,337.0,E 1st St,,,,suehiro cafe inc,337.0,E 1st St,,,
18,golden mongolian restaurant,3012.0,Wilshire Blvd,,,,el buen gusto restaurant family,3140.0,Glendale Blvd,,Los Angeles,CA
19,golden mongolian restaurant,3012.0,Wilshire Blvd,,,,kuishimbo restaurant,4001.0,Wilshire Blvd,,,
20,wilde wine bar & restaurant,320.0,South La Brea,,,,little kitchen restaurant,1292.0,S La Brea Ave,,,
21,the park,1400.0,Sunset Blvd,,,,the pikey,7617.0,W Sunset Blvd,,,
22,hello italian fusion restaurant,607.0,S Western Ave Ste 201,,,,clemen's restaurant,3551.0,S Western Ave,,,
23,zermeos restaurant,6115.0,Santa Monica Blvd,,,,sunshine restaurant,5706.0,Santa Monica Blvd,,,
24,vintage enoteca,7554.0,W Sunset Blvd,,,,vintage enoteca,7554.0,W Sunset Blvd,,,
25,hae jang chon korean bbq restaurant,3821.0,W 6th St,,,,shin jung restaurant,3450.0,W 6th St Ste 101,,,
26,hae jang chon korean bbq restaurant,3821.0,W 6th St,,,,sabdari gom tang restaurant,3470.0,W 6th St,,,
27,da jeong korean cuisine,3909.0,1/2 W Olympic Blvd,,,,korean bbq,2897.0,W Olympic Blvd Ste 105,,,
28,e-moon oak restaurant,869.0,S Western Ave Ste 5,,,,sigol restaurant,478.0,N Western Ave,,,
29,e-moon oak restaurant,869.0,S Western Ave Ste 5,,,,joan & sisters restaurant,3709.0,S Western Ave,,,
30,panns restaurant,6710.0,La Tijera Blvd,,,,sompun thai restaurant,4156.0,Santa Monica Blvd,,,
31,shin-sen-gumi hakata ramen - west l.a.,1601.0,Sawtelle Blvd,,,,hakata ramen shin-sen-gumi,1601.0,Sawtelle Blvd Ste 101,,,
32,bossa nova on sunset,7181.0,W Sunset Blvd,,,,siam sunset,5265.0,W Sunset Blvd,,,
33,palms thai restaurant,5900.0,Hollywood Blvd Ste B,,,,palm thai restaurant,5900.0,Hollywood Blvd,,,
34,hae ha heng thai bistro,301.0,S Western Ave Ste 209,,,,hae ha heng,301.0,S Western Ave Ste 209,,,
35,pita bar & grill,519.0,N Fairfax Ave,,,,pita bar and grill,519.0,N Fairfax Ave,,,
36,pacific dining car,1310.0,W 6th St,,,,pacific dining car,1310.0,W 6th St,,,
37,palm grove ethiopian restaurant,1905.0,S Western Ave,,,,pipers restaurant,222.0,N Western Ave,,,
38,sushi gen,422.0,E 2nd St,,,,hama sushi,347.0,E 2nd St,,,
39,bulrocho korean restaurant,955.0,S Vermont St,,,,texis restaurant,698.0,S Vermont Ave Ste 106,,,
40,m grill,3832.0,Wilshire Blvd Ste 202,,,,panini grill & deli,5354.0,Wilshire Blvd,,,
41,m grill,3832.0,Wilshire Blvd Ste 202,,,,india's grill,428.0,S San Vicente Blvd,,,
42,franks restaurant,363.0,S Fairfax Ave,,,,chameau restaurant,339.0,N Fairfax Ave,,,
43,la abeja restaurant,3700.0,N Figueroa St,,,,la estrella restaurant,6103.0,N Figueroa St,,,
44,la abeja restaurant,3700.0,N Figueroa St,,,,ok chinese restaurant,6320.0,N Figueroa St,,,
45,patio burgers & beer,4541.0,Eagle Rock Blvd,,,,fusion burger,5933.0,York Blvd,,,
46,jeon ju restaurant,2716.0,W Olympic Blvd Ste 101,,,,playa las tunas restaurant,1107.0,S Alvarado St Ste 112,,,
47,jeon ju restaurant,2716.0,W Olympic Blvd Ste 101,,,,hop li seafood restaurant,11901.0,Santa Monica Blvd Ste 102,,,
48,seoul garden restaurant,1833.0,W Olympic Blvd,,,,pho two thousand restaurant,2897.0,W Olympic Blvd,,,
49,la caridad restaurant,2619.0,W Sunset Blvd,,,,el cochinito restaurant,3508.0,W Sunset Blvd,,,
50,keungama korean restaurant,3498.0,W 8th St,,,,dong il jang restaurant,3455.0,W 8th St,,,
51,curry house,123.0,S Onizuka St Ste 204,,,,curry house,123.0,S. Onizuka St.,,,
52,western doma noodles,429.0,N Western Ave Ste 10,,,,western doma noodles apt 10,429.0,N Western Ave,,,
53,carnitas michoacan,1901.0,N Broadway,,,,carnitas michoacan,1901.0,N Broadway,,,
54,hana ichimonme restaurant,333.0,S Alameda St Ste 303,,,,pho hoa vietnamese restaurant,818.0,N Spring St Ste 103,,,
55,marouch restaurant,4905.0,Santa Monica Blvd.,,,,harper's restaurant,10250.0,Santa Monica Blvd Ste 192,,,
56,yakuza sushi,1700.0,Silver Lake Blvd,,,,sushi eyaki,5040.0,Wilshire Blvd,,,
57,market place restaurant,1102.0,Lawrence St,,,,pupuseria restaurant mi pueblo,1341.0,E Florence Ave,,,
58,market place restaurant,1102.0,Lawrence St,,,,family restaurant,2063.0,W Florence Ave,,,
59,market place restaurant,1102.0,Lawrence St,,,,market place restaurant,1102.0,Lawrence St,,,
60,sadie kitchen and lounge,1638.0,N Las Palmas Ave,,,,sadie,1638.0,N Las Palmas Ave,,,
61,il capriccio on vermont,1757.0,N Vermont Ave,,,,thai bbq vermont,851.0,S Vermont Ave,,,
62,beverly soon tofu restaurant,2717.0,W Olympic Blvd Ste 108,,,,sabina's european restaurant,1253.0,Vine St Ste 12,,,
63,the roof on wilshire,6317.0,Wilshire Blvd,,,,11831 wilshire restaurant,11831.0,Wilshire Blvd,,,
64,roccos italian kitchen,6335.0,Wilshire Blvd,,,,yuko kitchen,5484.0,Wilshire Blvd,,,
65,surawon,2833.0,W Olympic Blvd,,,,surawon,2833.0,W Olympic Blvd,,,
66,plan check kitchen + bar,1800.0,Sawtelle Blvd,,,,plan check (wilshire),1111.0,Wilshire Blvd,,,
67,soowon galbi kbbq restaurant,856.0,S Vermont Ave Ste C,,,,d & d restaurants,8330.0,S Vermont Ave,,,
68,shintaro japanese restaurant,1900.0,N Highland Ave Ste 5,,,,lemon tree kids restaurant,621.0,S. Western Ave,,,
69,the chicago diner,3411.0,N Halsted St,,,,s & e diner,11117.0,S Halsted St,,,
70,hala in restaurant,4624.0,W Lawrence Ave,,,,great sea chinese restaurant,3254.0,W Lawrence Ave Ste 201,,,
71,machu picchu restaurant,3856.0,N Ashland Ave,,,,mama n'ems restaurant,5428.0,S Ashland Ave,,,
72,machu picchu restaurant,3856.0,N Ashland Ave,,,,young's restaurant,3949.0,N Ashland Ave,,,
73,pita cafe,2014.0,W Division,,,,janik's cafe,2011.0,W Division St,,,
74,grill & garden restaurant,5318.0,N Broadway St,,,,furama restaurant,4936.0,N Broadway St,,,
75,phos spicier thai cuisine,3332.0,N Lincoln Ave,,,,jim thai cuisine,2819.0,N Lincoln Ave,,,
76,briannas restaurant,4911.0,N Western Ave,,,,katachi japanese restaurant,3911.0,N Sheridan Rd,,,
77,cozy corner restaurant & pancake house,2294.0,N Milwaukee Ave,,,,roma restaurant,6161.0,N Milwaukee Ave,,,
78,elizabeth restaurant,4835.0,N Western Ave Unit D,,,,thai room restaurant,4022.0,N Western Ave,,,
79,elizabeth restaurant,4835.0,N Western Ave Unit D,,,,perkins restaurant & bakery,3111.0,S Western Ave,,,
80,mak restaurant,1924.0,W Division St,,,,super pollo restaurant,4614.0,W Diversey Ave,,,
81,cozy noodles & rice,3456.0,N Sheffield Ave,,,,siam noodle & rice restaurant,4654.0,N Sheridan Rd,,,
82,cro bar and restaurant,2506.0,N Clybourn Ave,,,,arturos mexican restaurant,7151.0,S Western Ave,,,
83,greek islands restaurant,200.0,S Halsted St,,,,nookies tree restaurant,3334.0,N Halsted St,,,
84,bopngrill belmont,921.0,W Belmont Ave,,,,the belmont cafe,930.0,W Belmont Ave,,,
85,osaka sushi express & fresh fruit smoothies,400.0,S Michigan Ave,,,,osaka express inc,400.0,S Michigan Ave,,,
86,emperors choice restaurant,2238.0,S Wentworth Ave,,,,won kow restaurant,2237.0,S Wentworth Ave,,,
87,emperors choice restaurant,2238.0,S Wentworth Ave,,,,emperor's choice,2238.0,S Wentworth Ave,,,
88,tom yum cafe,608.0,W Barry Ave,,,,tom yum restaurant,608.0,W Barry Ave,,,
89,great sea chinese restaurant,3254.0,W Lawrence Ave,,,,red zin restaurant,4712.0,S Saint Lawrence Ave,,,
90,giordanos,223.0,W Jackson Blvd,,,,giordano's,223.0,W Jackson Blvd,,,
91,la villa restaurant & banquets,3632.0,N Pulaski Rd,,,,manee thai restaurant,3558.0,N Pulaski Rd,,,
92,naf naf grill,326.0,N Michigan Ave,,,,la cantina grill,1911.0,S Michigan Ave,,,
93,frontera grill,445.0,N Clark St,,,,sam's grill,416.0,N Clark St,,,
94,carnitas uruapan restaurant,1725.0,W 18th St,,,,magic restauraunt,3335.0,W 111th St,,,
95,la griglia restaurant,2002.0,West Gray,,,,njoy restaurant,212.0,Westheimer Rd,,,
96,osaka japanese restaurant ii,4001.0,Bellaire Blvd Ste J,,,,east wall chinese restaurant,9889.0,Bellaire Blvd Ste 301,,,
97,kona grill,5061.0,Westheimer Rd,Houston Galleria,,,the capital grille,840.0,W Sam Houston Pkwy N,,,
98,up restaurant,3995.0,Westheimer Rd Fl 3rd,,,,abesha bar and restaurant,9100.0,Westheimer Rd Ste 637,,,
99,tan tan restaurant,8066.0,Westheimer Rd,,,,chuan's chinese restaurant,5901.0,Westheimer Rd,,,
100,kim tai restaurant,2602.0,Fannin St,,,,kim tai restaurant,2602.0,Fannin St,,,
101,luna y sol mexican grill,2808.0,Milam St Ste G,,,,los cucos mexican cafe,5535.0,Memorial Dr Ste G,,,
102,chavez mexican cafe,2557.0,Gessner Rd,,,,juarez mexican restaurant,2545.0,Gessner Rd,,,
103,lucky palace korean restaurant,8508.0,Bellaire Blvd,,,,kim chau restaurant,11210.0,Bellaire Blvd,,,
104,pappasitos cantina,2515.0,South Loop W,,,,pappasito's cantina,2515.0,S Loop W,,,
105,one dragon restaurant,9310.0,Bellaire Blvd,,,,arirang restaurant,9715.0,Bellaire Blvd,,,
106,chuans chinese restaurant,5901.0,Westheimer Rd Unit N,,,,my amigos restaurant y cantina,12599.0,Westheimer Rd,,,
107,chuans chinese restaurant,5901.0,Westheimer Rd Unit N,,,,pappas restaurants,9797.0,Westheimer Rd,,,
108,hokkaido japanese restaurant,9108.0,Bellaire Blvd Ste B,,,,amaya restaurant,12468.0,Bellaire Blvd,,,
109,hokkaido japanese restaurant,9108.0,Bellaire Blvd Ste B,,,,one dragon restaurant,9310.0,Bellaire Blvd,,,
110,hokkaido japanese restaurant,9108.0,Bellaire Blvd Ste B,,,,kuu restaurant,947.0,Gessner Rd Ste A180,,,
111,hokkaido japanese restaurant,9108.0,Bellaire Blvd Ste B,,,,thai choice restaurant,11161.0,Westheimer Rd Ste B,,,
112,mason jar restaurant,9005.0,Katy Fwy,,,,olive garden italian restaurant,9750.0,Katy Fwy,,,
113,nippon japanese restaurant,4464.0,Montrose Blvd,,,,shanghai restaurant,9888.0,Bellaire Blvd,,,
114,nippon japanese restaurant,4464.0,Montrose Blvd,,,,shanghai chinese restaurant,9116.0,Bellaire Blvd,,,
115,laurenzos restaurant,4412.0,Washington Ave,,,,benlis restaurant,5922.0,Washington Ave,,,
116,the oaks restaurant,1600.0,Holcombe Blvd,,,,viet huong restaurant,11209.0,Bellaire Blvd,,,
117,himalaya restaurant & catering,6652.0,Southwest Fwy,,,,texas seafood restaurant,10155.0,East Fwy,,,
118,azuma sushi & robata bar,909.0,Texas St,,,,azuma downtown,909.0,Texas St,,,
119,treebeards - the tunnel,1100.0,Louisiana St,,,,treebeards restaurant,801.0,Louisiana St Ste 100,,,
120,el rey taqueria,910.0,Shepherd Dr,,,,taqueria el tapatio,4550.0,N.Shepherd,,,
121,osaka japanese restaurant,5709.0,Woodway Dr Ste B,,,,osaka japanese restaurant,5709.0,Woodway Dr,,,
122,osaka japanese restaurant,5709.0,Woodway Dr Ste B,,,,doneraki restaurant,2903.0,Woodridge Dr Ste 300,,,
123,houstons restaurant,5888.0,Westheimer Rd,,,,palm restaurant,6100.0,Westheimer Rd,,,
124,houstons restaurant,5888.0,Westheimer Rd,,,,thai restaurant,5757.0,Westheimer Rd,,,
125,ottos,600.0,Travis St,,,,otto's,600.0,Travis St,,,
126,andalucia tapas restaurant & bar,1201.0,San Jacinto St Ste 161,,,,lucky palace buffet restaurant,16211.0,Clay Rd Ste 128,,,
127,chachos mexican restaurant,6006.0,Westheimer Rd,,,,shere punjav restaurant,12315.0,Westheimer Rd,,,
128,house of pies restaurant & bakery,6142.0,Westheimer Rd,,,,thai restaurant,5757.0,Westheimer Rd,,,
129,sheger ethiopian restaurant,5506.0,Bellaire Blvd Unit C,,,,puerto rican restaurant,15115.0,Bellaire Blvd Ste B,,,
130,mi pueblito restaurant,9425.0,Richmond Ave,,,,el pueblito place,1423.0,Richmond Ave,,,
131,ulas mexican restaurant & cantina,5555.0,Washington Ave,,,,don luis mexican restaurant,7606.0,Irvington Blvd,,,
132,peking cuisine restaurant,8332.0,Southwest Fwy,,,,pappas restaurants,12010.0,East Fwy,,,
133,thai gourmet,6324.0,Richmond Ave,,,,thai gourmet inc,6324.0,Richmond Ave,,,
134,sushi wabi,3953.0,Richmond Ave,,,,sushi wabi,3953.0,Richmond Ave,,,
135,thai jasmine restaurant,10900.0,Kingspoint Rd Ste 12,,,,il me jung korean restaurant,10017.0,Long Point Rd,,,
136,ty seafood kitchen,11011.0,Northwest Fwy,,,,seafood corner,12300.0,North Fwy,,,
137,bombay pizza co.,914.0,Main St Ste 105,,,,pizza inn,12121.0,Westheimer Rd Ste 122,,,
138,noodles inc  pho restaurant,9820.0,Gulf Fwy Ste A11,,,,los reyes mexican restaurant,5050.0,Cypress Creek Pkwy Ste 136,,,
139,stos bar & restaurant,236.0,Market St,,,,sto's bar & restaurant,236.0,Market St,,,
140,saads halal restaurant,4500.0,Walnut St,,,,circa restaurant,1518.0,Walnut St Ste 903,,,
141,mad greek restaurant and pizza,3517.0,Lancaster Ave,,,,calabash restaurant and banquet,6208.0,Lancaster Ave,,,
142,pattaya restaurant,4006.0,Chestnut St,,,,starr restaurant organization lp,2013.0,Chestnut St,,,
143,sams morning glory diner,735.0,S 10th St,,,,morning glory,735.0,S 10th St,,,
144,rangoon burmese restaurant,112.0,N 9th St,,,,ralph's italian restaurant,760.0,S 9th St,,,
145,thang long restaurant,2536.0,Kensington Ave,,,,q q rotisserie and seafood restaurant,6320.0,Stenton Ave,,,
146,ayas cafe,2129.0,Arch St,,,,s&c cafe,900.0,Arch St,,,
147,china house,2123.0,W Oregon Ave,,,,china garden,8103.0,Stenton Ave,,,
148,pho 75 restaurant,1122.0,Washington Ave,,,,kma restaurant,3171.0,Kensington Ave,,,
149,pho 75 restaurant,1122.0,Washington Ave,,,,hai tien restaurant,1603.0,Washington Ave,,,
150,pho 75 restaurant,1122.0,Washington Ave,,,,golden restaurant,2136.0,Stenton Ave,,,
151,warmdaddys,1400.0,Columbus Blvd,,,,warmdaddy's,1400.0,S Columbus Blvd,,,
152,the farm and fisherman,1120.0,Pine St,,,,the farm and fisherman,1120.0,Pine St,,,
153,tai lake restaurant,134.0,N 10th St,,,,won oriental restaurant,216.0,S 40th St,,,
154,sassafras bar,48.0,S 2nd St,,,,sassafras,48.0,S 2nd St,,,
155,alyans restaurant,603.0,S 4th St,,,,rio corbe jamaican restaurant,524.0,S 4th St,,,
156,my thai restaurant,2200.0,South St,,,,latin flavor restaurant,627.0,South St,,,
157,baby blues,3402.0,Sansom St,,,,baby blues bbq,3402.0,Sansom St,,,
158,circles contemporary asian,1514.0,Tasker St,,,,circles contemporary asian,1516.0,Tasker St,,,
159,kilimandjaro restaurant,4317.0,Chestnut St,,,,hua lai chinese restaurant,5148.0,Walnut St,,,
160,kilimandjaro restaurant,4317.0,Chestnut St,,,,little pete's restaurant,1904.0,Chestnut St,,,
161,el fuego,723.0,Walnut St,,,,el fuego,723.0,Walnut St,,,
162,freddy & tonys restaurant,201.0,W Allegheny Ave,,,,freddy & tony's restaurant,201.0,W Allegheny Ave,,,
163,freddy & tonys restaurant,201.0,W Allegheny Ave,,,,eddie's chinese restaurant,113.0,E Allegheny Ave,,,
164,sawatdee thai restaurant,534.0,S 15th St,,,,maria's restaurant,4058.0,N 5th St,,,
165,sawatdee thai restaurant,534.0,S 15th St,,,,noly restaurant,2959.0,N 5th St,,,
166,sawatdee thai restaurant,534.0,S 15th St,,,,shiroi hana restaurant,222.0,S 15th St,,,
167,red kings 2 restaurant,1006.0,Race St,,,,singapore chinese vegetarian restaurant,1006.0,Race St,,,
168,spring garden restaurant,400.0,Spring Garden St,,,,sazon restaurant & cafe,941.0,Spring Garden St,,,
169,salvadoreo restaurant,8911.0,N Central Ave Ste 101,,,,wingstop restaurant,1610.0,N 75th Ave Ste 110,,,
170,salvadoreo restaurant,8911.0,N Central Ave Ste 101,,,,pho 602 vietnamese restaurant,6135.0,N 35th Ave Ste 121,,,
171,islands restaurant,21001.0,N Tatum Blvd Ste 36-1160,,,,kampai japanese restaurant,2945.0,E Bell Rd Ste 102,,,
172,canyon cafe,455.0,N 3rd St Ste 114,,,,cayon cafe,455.0,N 3rd St Ste 114,,,
173,juans authentic mexican food,1516.0,E Thomas Rd,,,,la paloma mexican food,519.0,W Thomas Rd,,,
174,paradise bakery & cafe,3.0,3400 E Sky Harbor Blvd,Phoenix Sky Harbor Int'l Airport Terminal,,,paradise bakery & cafe,3400.0,E Sky Harbor Blvd,,,
175,maxim restaurant,3424.0,N 19th Ave,,,,wingstop restaurant,1515.0,N 7th Ave Ste 152,,,
176,lunch time cafe,3330.0,N 35th Ave,,,,lunch time cafe,3330.0,N 35th Ave Ste 1,,,
177,la oaxaquena mexican restaurant,10430.0,N 19th Ave Ste 7,,,,mi patio mexican restaurant,3347.0,N 7th Ave,,,
178,el ranchero mexican restaurant,1900.0,E McDowell Rd,,,,tomyum & thai restaurant,3510.0,E Bell Rd,,,
179,guanaquito restaurant,1436.0,E McDowell Rd,,,,restaurant sinaloa,2601.0,E Bell Rd,,,
180,the haymaker restaurant,4717.0,E Bell Rd,,,,ethiopian famous restaurant & cafe,4111.0,E McDowell Rd,,,
181,az kabob house,7000.0,E Mayo Blvd Ste 1060,,,,zatoon kabob bistro,4804.0,E Chandler Blvd Ste 108,,,
182,carolinas mexican food,1122.0,E Buckeye Rd Ste A5,,,,santana's mexican food,1930.0,W Buckeye Rd,,,
183,federal pizza,5210.0,N Central Ave,,,,gino's pizza,6420.0,S Central Ave,,,
184,forge pizza,2502.0,E Camelback Rd Ste 148,,,,cici's pizza,3911.0,E Thomas Rd Ste G4,,,
185,forge pizza,2502.0,E Camelback Rd Ste 148,,,,nypd pizza,1949.0,E Camelback Rd Ste 144,,,
186,los compadres mexican food,4414.0,N 7th Ave,,,,alfonso's mexican food,18631.0,N 19th Ave,,,
187,thai lotus restaurant,7023.0,N 19th Ave,,,,75th thai taste restuarant,1820.0,N 75th Ave,,,
188,hillstone restaurant,2650.0,E Camelback Rd,,,,kwan & wok chinese restaurant,1702.0,W Camelback Rd Ste 1,,,
189,barros pizza,2510.0,W Thunderbird Rd Ste 6,,,,domino's pizza,3329.0,E Bell Rd Ste 20,,,
190,chicago gyros,717.0,W Union Hills Dr Ste 1,,,,j t gyros,3434.0,W Greenway Rd Ste 101,,,
191,texas bbq house,5037.0,S 24th St,,,,texas bbq house,5037.0,S 24th St Ste 3,,,
192,welcome diner,924.0,E Roosevelt St,,,,welcome diner,924.0,E Roosevelt St,,,
193,burger mania,2302.0,W Bell Rd,,,,whataburger,2901.0,E Bell Rd,,,
194,al fuego mexican restaurant,2948.0,E Bell Rd Ste 102,,,,shangri-la chinese restaurant,2855.0,W Cactus Rd Ste 2,,,
195,al fuego mexican restaurant,2948.0,E Bell Rd Ste 102,,,,wingstop restaurant,5215.0,W Indian School Rd Ste 103,,,
196,al fuego mexican restaurant,2948.0,E Bell Rd Ste 102,,,,prime chinese restaurant,24.0,W Camelback Rd Ste H,,,
197,luckys burgers & hotdog grill,7000.0,E Mayo Blvd Ste 1066,,,,lucky's burgers & hotdog grill,7000.0,E Mayo Blvd,,,
198,maizies cafe & bistro,4750.0,N Central Ave,,,,maizie's cafe & bistro,4750.0,N Central Ave Ste 140,,,
199,nypd pizza,1949.0,E Camelback Rd Ste 144,,,,cici's pizza,3911.0,E Thomas Rd Ste G4,,,
200,mister wong,10627.0,N 19th Ave,,,,canton wong,6023.0,N 19th Ave,,,
201,azteca bakeries & restaurant,416.0,N 7th Ave,,,,kaova restaurante,5234.0,N 27th Ave,,,
202,quiessence restaurant,6106.0,S 32nd St,,,,compass restaurant-hyatt,122.0,N 2nd St,,,
203,rolandos mexican food,10639.0,N 35th Ave,,,,rivas mexican food,4012.0,N 75th Ave,,,
204,coup des tartes,1725.0,East Osborn,,,,coup des tartes,1725.0,E Osborn Rd,,,
205,isas pizza,4001.0,E Bell Rd Ste 112,,,,domino's pizza,7710.0,W Lower Buckeye Rd Ste 110,,,
206,isas pizza,4001.0,E Bell Rd Ste 112,,,,rosatis pizza,9971.0,W Camelback Rd Ste 103,,,
207,the grind,3961.0,E Camelback Rd,,,,the grind,3961.0,E Camelback Rd,,,
208,pita jungle,2530.0,W Happy Valley Rd Ste 1261,,,,pita bistro,101.0,N 1st Ave Ste 101,,,
209,las cazuelas mexican food restaurant,5150.0,W McDowell Rd,,,,los alamos mexican food,2948.0,E Bell Rd,,,
210,las cazuelas mexican food restaurant,5150.0,W McDowell Rd,,,,filiberto's mexican food,1601.0,E McDowell Rd,,,
211,mariscos chihuahua,1834.0,W Indian School Rd,,,,senaduria mariscos altata,5005.0,W Indian School Rd,,,
212,san carlos bay seafood restaurant,1901.0,E McDowell Rd,,,,manuel's mexican restaurant,1111.0,W Bell Rd,,,
213,pinos pizza al centro,139.0,W Thomas Rd,,,,domino's pizza,5532.0,E Thomas Rd,,,
214,pinos pizza al centro,139.0,W Thomas Rd,,,,domino's pizza,4284.0,W Thomas Rd,,,
215,tonys italian delicatessen,536.0,E Dunlap Ave,,,,tony's italian delicatessen,536.0,E Dunlap Ave,,,
216,the great dane restaurant,6219.0,N 7th St,,,,fox restaurant,5640.0,N 7th St,,,
217,gojo ethiopian restaurant,3015.0,E Thomas Rd Ste 101,,,,my big fat greek restaurant,2303.0,N 44th St Ste 12,,,
218,st. francis restaurant,111.0,E Camelback Rd,,,,peter wong restaurant,1534.0,W Camelback Rd,,,
219,zinburger,2502.0,East Camelback Rd Ste 127,,,,hamburger haven,507.0,W Thomas Rd Ste FRNT,,,
220,the corner cityscape,50.0,W Jefferson St,,,,chloe's corner,50.0,W Jefferson St Ste 100,,,
221,sabas mediterranean kitchen,4747.0,E Bell Rd,,,,saba's mediterranean cuisine,4747.0,E Bell Rd Ste 5,,,
222,north italia,4925.0,N 40th St,North Arcadia,,,north arcadia,4925.0,N 40th St,,,
223,chanpen thai cuisine,2727.0,E Broadway Rd,,,,chanpen thai cuisine,2727.0,E Broadway Rd,,,
224,new garden restaurant,823.0,S Central Ave,,,,new garden restaurant,823.0,S Central Ave,,,
225,thai basil signature,114.0,W Adams St Ste 104,,,,thai basil,4221.0,E Chandler Blvd Ste 106,,,
226,hong kong kitchen 3,510.0,E Baseline Rd D3,,,,hong kong kitchen,510.0,E Baseline Rd,,,
227,sushi style,401.0,E Bell Rd,,,,sushi nola,5930.0,W McDowell Rd,,,
228,pacifica ceviche,6544.0,W Thomas Rd,,,,pacifica ceviche,6544.0,W Thomas Rd,,,
229,don jose mexican food,3734.0,E Thomas Rd,,,,fillbertos mexican food,3923.0,E Thomas Rd Ste B5,,,
230,scotts generations restaurant & delicatessen,5539.0,N 7th St Ste 108,,,,macalpine's restaurant & soda,2303.0,N 7th St,,,
231,pollo correteado restaurant el,2904.0,W McDowell Rd,,,,manuel's mexican restaurant,1111.0,W Bell Rd,,,
232,escobar mexican kitchen,1219.0,E Glendale Ave Ste 14,,,,chipotle mexican grill,425.0,E Bell Rd Suite 140,,,
233,waamo restaurant,5050.0,E McDowell Rd,,,,kampai japanese restaurant,2945.0,E Bell Rd Ste 102,,,
234,chachos mexican restaurant,7870.0,Callaghan Rd,,,,sandia mexican restaurant & fruit,100.0,Callaghan Rd,,,
235,chicagos pizza,5525.0,Blanco Rd Ste 115,,,,ray's pizzaria,7214.0,Blanco Rd,,,
236,kim wah chinese bbq,7080.0,Bandera Rd,,,,peng's chinese restaurant,7015.0,Bandera Rd,,,
237,mama margies mexican restaurant,7335.0,S Zarzamora St,,,,wingstop restaurant,6998.0,S Zarzamora St,,,
238,urban bricks pizza,17603.0,La Cantera Pkwy Ste 119,,,,urban bricks pizza,17603.0,La Cantera Pkwy,,,
239,los ajos mexican grill,7616.0,Culebra Rd Ste 109,,,,san antonio mexican candies,3654.0,Culebra Rd,,,
240,viet nam restaurant,3244.0,Broadway St,,,,vans chinese seafood restaurant,3214.0,Broadway St,,,
241,ali baba restaurant,7271.0,Wurzbach Rd Ste 102,,,,veracruz restaurant,7530.0,Bandera Rd Ste 135,,,
